un_region_name,un_sub_region_name,internal_count,regional_count,sub_regional_count,external_count,unknown_count,total_count,internal_percentage,regional_percentage,sub_regional_percentage,external_percentage
Africa,Northern Africa,3712,1737,95,1668273,6,1673823,0.22,0.1,0.01,99.67
Africa,Sub-Saharan Africa,4726284,13,868203,18235111,4370,23833981,19.83,0.0,3.64,76.51
Americas,Latin America and the Caribbean,41428483,23410503,1401461,14548899,489,80789835,51.28,28.98,1.73,18.01
Americas,Northern America,15948516,45607,9449267,6275229,36,31718655,50.28,0.14,29.79,19.78
Asia,Central Asia,66066,50440,3431,606260,1,726198,9.1,6.95,0.47,83.48
Asia,Eastern Asia,20483556,747,274611,7010130,63,27769107,73.76,0.0,0.99,25.24
Asia,South-eastern Asia,189933,472732,49819,8700245,54,9412783,2.02,5.02,0.53,92.43
Asia,Southern Asia,803400,75330,14798,5215696,670,6109894,13.15,1.23,0.24,85.36
Asia,Western Asia,1472698,9687,376575,3860382,275,5719617,25.75,0.17,6.58,67.49
Europe,Eastern Europe,16921553,3928633,624636,9038802,97706,30611330,55.28,12.83,2.04,29.53
Europe,Northern Europe,266185804,2979844,5593519,6693530,24119,281476816,94.57,1.06,1.99,2.38
Europe,Southern Europe,35591058,10391169,462550,5923085,337,52368199,67.96,19.84,0.88,11.31
Europe,Western Europe,301498828,3979358,14423885,8882400,6682,328791153,91.7,1.21,4.39,2.7
Oceania,Australia and New Zealand,52493413,8,272745,14730541,38,67496745,77.77,0.0,0.4,21.82
Oceania,Melanesia,238456,557293,40789,1692514,9,2529061,9.43,22.04,1.61,66.92
Oceania,Micronesia,30,60237,0,648652,2,708921,0.0,8.5,0.0,91.5
Oceania,Polynesia,10053,158284,0,222715,0,391052,2.57,40.48,0.0,56.95
